word,example,meaning,pronunciation,audio_files
consult,(consult a doctor ),（医者、弁護士等の専門家に）相談する,(医師に相談する),"08-173.mp3, 08-174.mp3"
convert,(convert a warehouse into an office),改造する,(倉庫をオフィスに改造する),"08-175.mp3, 08-176.mp3"
obligation,(You have no obligation to do so.),義務,(あなたにはそうする義務はない),"08-177.mp3, 08-178.mp3"
resign,(resign without notice),辞任する,(予告なしに辞任する),"08-179.mp3, 08-180.mp3"
securely,(The door is securely locked.),しっかりと,(ドアにはしっかりと鍵がかかっている。),"08-181.mp3, 08-182.mp3"
strive,(strive to cut costs),懸命に努力する,(コスト削減のために懸命に努力する),"08-183.mp3, 08-184.mp3"
timeline,(a timeline of events),予定表,(イベントの予定表),"08-185.mp3, 08-186.mp3"
urge,(urge Tex to change his mind),強く促す,(テックスに考えを変えるよう強く促す),"08-187.mp3, 08-188.mp3"
acknowledge,(acknowledge receipt of the order),（受け取ったことを）知らせる,(注文を受け取ったことを知らせる),"08-189.mp3, 08-190.mp3"
diverse,(a diverse group of experts),多種多様な,(多種多様な専門家のグループ),"08-191.mp3, 08-192.mp3"
transaction,(a bank transaction),取引,(銀行取引),"08-193.mp3, 08-194.mp3"
lack,(a lack of information),不足,(情報不足),"08-195.mp3, 08-196.mp3"
essential,(Customer satisfaction is essential to us.),最も重要な,(顧客満足が当社にとって最も重要です。),"08-197.mp3, 08-198.mp3"
majority,(the majority of employees),大部分,(従業員の大部分),"08-199.mp3, 08-200.mp3"
observe,(observe a trend ),気付く,(傾向に気付く),"09-01.mp3, 09-02.mp3"
possess,(possess knowledge),（財産、所有物等として）持つ,(知識を持つ),"09-03.mp3, 09-04.mp3"
sharply,(Sales rose sharply.),急激に,(売り上げが急激に上がった。),"09-05.mp3, 09-06.mp3"
adjustment,(make adjustments to the plan),調整,(計画を調整する),"09-07.mp3, 09-08.mp3"
aisle,(I prefer an aisle seat.),通路,(通路側の席がいいです。),"09-09.mp3, 09-10.mp3"
capture,(Photographs capture memorable moments in life.),（映像や写真に）記録する,(写真は人生の思い出の瞬間を記録します。),"09-11.mp3, 09-12.mp3"
consist,(The committee consists of five members. ),～から成る,(委員会は5人のメンバーで構成されている。),"09-13.mp3, 09-14.mp3"
desirable,(Teaching experience is desirable.),望ましい,(指導経験があることが望ましい。),"09-15.mp3, 09-16.mp3"
heavily,(a heavily used bus route),非常に頻繁に,(非常に頻繁に使われるバスの路線),"09-17.mp3, 09-18.mp3"
investigate,(investigate a possibility),調査する,(可能性を調査する),"09-19.mp3, 09-20.mp3"
measurement,(take the measurements of a table),寸法,(テーブルの寸法を測る),"09-21.mp3, 09-22.mp3"
urgent,(an urgent request),緊急の,(緊急の依頼),"09-23.mp3, 09-24.mp3"
checkout,(the checkout counter),レジ,(レジカウンター),"09-25.mp3, 09-26.mp3"
dispose,(dispose of garbage),処分する,(ごみを処分する),"09-27.mp3, 09-28.mp3"
modify,(modify a contract),修正する,(契約を修正する),"09-29.mp3, 09-30.mp3"
outlet,(open an outlet in Japan),店舗,(日本で店舗をオープンする),"09-31.mp3, 09-32.mp3"
prescription,(ask for a prescription),処方せん,(処方せんを依頼する),"09-33.mp3, 09-34.mp3"
situated,"(Situated downtown, the hotel is convenient.)",位置している,(中心街に位置していて、そのホテルは便利だ。),"09-35.mp3, 09-36.mp3"
surprisingly,"(Surprisingly, Tex passed the exam. )",驚いたことに,(驚いたことにテックスは試験に合格した。),"09-37.mp3, 09-38.mp3"
transform,(transform a train station into a museum),（姿、形、性質等を）一変させる,(電車の駅を博物館に一変させる),"09-39.mp3, 09-40.mp3"
undergo,(undergo major renovations),（検査、修理等を）経験する,(大規模な改装に入る),"09-41.mp3, 09-42.mp3"
blueprint,(the blueprints for the new theater),設計図,(新しい劇場の設計図),"09-43.mp3, 09-44.mp3"
boost,(boost the company's profit),押し上げる,(会社の利益を押し上げる),"09-45.mp3, 09-46.mp3"
considerably,(considerably lower prices),かなり,(かなり安くなった価格),"09-47.mp3, 09-48.mp3"
eliminate,(eliminate a risk),取り除く,(リスクを取り除く),"09-49.mp3, 09-50.mp3"
exclusively,(available exclusively to our members),限定で,(メンバー限定で利用できる),"09-51.mp3, 09-52.mp3"
leak,(The pipe under the sink is leaking.),漏れる,(流しの下のパイプから水が漏れている。),"09-53.mp3, 09-54.mp3"
preliminary,(preliminary results from a survey),暫定の,(調査の暫定結果),"09-55.mp3, 09-56.mp3"
sophisticated,(a sophisticated design),洗練された,(洗練されたデザイン),"09-57.mp3, 09-58.mp3"
statistics,(the most recent statistics),統計,(一番最近の統計),"09-59.mp3, 09-60.mp3"
vacant,(a vacant unit in an apartment building),空の,(欠員の アパートの空室),"09-61.mp3, 09-62.mp3"
evidence,(evidence of payment),証拠,(支払いの証拠),"09-63.mp3, 09-64.mp3"
excursion,(a shopping excursion ),お出かけ,(買い物のお出かけ),"09-65.mp3, 09-66.mp3"
influence,(influence a decision),影響を与える,(結論に影響を与える),"09-67.mp3, 09-68.mp3"
ordinary,(live in an ordinary house),普通の,(普通の家に住む),"09-69.mp3, 09-70.mp3"
reject,(reject a proposal),却下する,(提案を却下する),"09-71.mp3, 09-72.mp3"
tailor,(tailor services to clients' needs),（ニーズや目的に合うように）合わせる,(顧客のニーズにサービスを合わせる),"09-73.mp3, 09-74.mp3"
assume,(assume responsibilities),引き受ける,(職務を引き受ける),"09-75.mp3, 09-76.mp3"
engagement,(a previous engagement),約束,(前からの約束（先約）),"09-77.mp3, 09-78.mp3"
fame,(achieve international fame),名声,(国際的な名声を得る),"09-79.mp3, 09-80.mp3"
modest,(a modest increase in price),少しの,(小幅の値上げ),"09-81.mp3, 09-82.mp3"
patent,(apply for a patent),特許,(特許を出願する),"09-83.mp3, 09-84.mp3"
pursue,(The company is pursuing a new market.),追い求める,(その会社は新しい市場を追い求めている。),"09-85.mp3, 09-86.mp3"
remote,(a remote mountain village),人里離れた,(人里離れた山村),"09-87.mp3, 09-88.mp3"
reveal,(reveal the cause of the problem),明らかにする,(問題の原因を明らかにする),"09-89.mp3, 09-90.mp3"
allowance,(a housing allowance),手当,(住宅手当),"09-91.mp3, 09-92.mp3"
crucial,(Innovation is crucial for business success.),非常に重要な,(技術革新は会社の成功に非常に重要だ。),"09-93.mp3, 09-94.mp3"
distinguished,(a distinguished career as a journalist),際立って優れた,（ジャーナリストとしての際立って優れた経歴),"09-95.mp3, 09-96.mp3"
disturb,(I'm sorry to disturb you.),邪魔する,(邪魔してすみません。),"09-97.mp3, 09-98.mp3"
fluent,(Applicants must be fluent in Mandarin.),堪能な,(応募者は北京語がペラペラでなければいけません。),"09-99.mp3, 09-100.mp3"
fulfill,(fulfill requirements),満たす,(必要条件を満たす),"09-101.mp3, 09-102.mp3"
objective,(the objective of the survey),目的,(アンケート調査の目的),"09-103.mp3, 09-104.mp3"
restrict,(restrict employees from accessing the Internet),制限する,(従業員がインターネットにアクセスすることを制限する),"09-105.mp3, 09-106.mp3"
steadily,(Sales have been increasing steadily.),着実に,(売上は着実に伸びている。),"09-107.mp3, 09-108.mp3"
adequate,(an adequate explanation),（要求を満たすのに）十分な,(十分な説明),"09-109.mp3, 09-110.mp3"
assessment,(the assessment of the value),評価,(価値の評価),"09-111.mp3, 09-112.mp3"
attribute,(Mr. Kato attributes his success to luck.),おかげであるとする,(加藤さんは自分が成功したのは幸運のおかげだとしている。),"09-113.mp3, 09-114.mp3"
beforehand,(prepare an agenda beforehand),あらかじめ,(前もってアジェンダを用意する),"09-115.mp3, 09-116.mp3"
challenging,(a challenging task),困難だがやりがいのある,(やりがいのある任務),"09-117.mp3, 09-118.mp3"
endeavor,(Good luck in your future endeavors. ),努力,(皆さんのこれからの努力が実ることを祈っています。),"09-119.mp3, 09-120.mp3"
inspiring,(an inspiring speech),やる気が出るような,(やる気の出るスピーチ),"09-121.mp3, 09-122.mp3"
remarkable,(make remarkable progress),驚くべき,(驚くべき進歩を遂げる),"09-123.mp3, 09-124.mp3"
measure,(take safety measures),対策,(安全対策を講じる),"09-125.mp3, 09-126.mp3"
struggle,(The company is struggling to survive. ),奮闘する,(その会社は生き残るために奮闘している。),"09-127.mp3, 09-128.mp3"
wage,(the wage level ),賃金,(賃金水準),"09-129.mp3, 09-130.mp3"
adapt,(adapt to a new work environment),適応する,(新しい職場環境に適応する),"09-131.mp3, 09-132.mp3"
ambitious,(set an ambitious goal),意欲的な,(意欲的な目標を設定する),"09-133.mp3, 09-134.mp3"
capable,(I am capable of doing the job.),能力がある,(私にはその仕事をする能力がある。),"09-135.mp3, 09-136.mp3"
consequence,(have serious consequences),結果,(深刻な結果を生む),"09-137.mp3, 09-138.mp3"
impose,(impose a fee on customers),課す,(顧客に料金を科す),"09-139.mp3, 09-140.mp3"
latter,(the former and the latter),後者,(前者と後者),"09-141.mp3, 09-142.mp3"
output,(the daily output of a factory),生産量,(工場の1日の生産量),"09-143.mp3, 09-144.mp3"
proudly,(proudly announce),誇らしげに,(誇らしげに発表する),"09-145.mp3, 09-146.mp3"
stable,(a stable supply of electricity),安定した,(電気の安定した供給),"09-147.mp3, 09-148.mp3"
transition,(the transition from school to work),移行,(学校生活から社会人生活への移行),"09-149.mp3, 09-150.mp3"
consent,(without written consent),同意,(書面での同意なしに),"09-151.mp3, 09-152.mp3"
dependable,(produce dependable cars and trucks),信頼できる,(信頼できる車とトラックを生産する),"09-153.mp3, 09-154.mp3"
diligent,(Mr. Kato is a diligent worker),勤勉な,(加藤さんは勤勉な働き手だ。),"09-155.mp3, 09-156.mp3"
illustrate,(illustrate a point),（例や図表を使って）説明する,(ポイントを説明する),"09-157.mp3, 09-158.mp3"
independently,(work independently and as a team member),単独で,(単独でもチームの一員としても働く),"09-159.mp3, 09-160.mp3"
mission,(the company's mission),使命,(会社の使命),"09-161.mp3, 09-162.mp3"
moderate,(moderate exercise),適度な,(適度な運動),"09-163.mp3, 09-164.mp3"
outlook,(the sales outlook),見通し,(売り上げ見通し),"09-165.mp3, 09-166.mp3"
precisely,(rapidly and precisely),正確に,(迅速かつ正確に),"09-167.mp3, 09-168.mp3"
concentrated,(a concentrated effort),集中的な,(集中的な努力),"09-169.mp3, 09-170.mp3"
ample,(The hotel has ample parking.),十分な,(そのホテルには十分な駐車スペースがある),"09-171.mp3, 09-172.mp3"
asset,(an asset to the team),財産,(チームにとっての財産),"09-173.mp3, 09-174.mp3"
controversial,(a controversial issue),議論を引き起こす,(議論を引き起こす問題),"09-175.mp3, 09-176.mp3"
disappointing,(disappointing sales),期待はずれの,(期待はずれの売り上げ),"09-177.mp3, 09-178.mp3"
instrumental,(Tex was instrumental in the project.),重要な役割を果たす,(テックスはそのプロジェクトで重要な役割を果たした。),"09-179.mp3, 09-180.mp3"
interruption,(without interruption),中断,(中断なしに),"09-181.mp3, 09-182.mp3"
perspective,(from a broad perspective),観点,(幅広い観点から),"09-183.mp3, 09-184.mp3"
scope,(the scope of the study),範囲,(調査の範囲),"09-185.mp3, 09-186.mp3"
speculation,(speculation from industry experts ),推測,(業界の専門家の推測),"09-187.mp3, 09-188.mp3"
supplement,(supplement income by writing books),補う,(収入を執筆で補う),"09-189.mp3, 09-190.mp3"
understaffed,(We are really understaffed.),人手不足の,(本当に人手不足です。),"09-191.mp3, 09-192.mp3"
rarely,(The CEO rarely appears in public.),めったに～しない,(そのCEOはめったに公に姿を見せない。),"09-193.mp3, 09-194.mp3"
caution,(use caution),注意,(注意を払う),"09-195.mp3, 09-196.mp3"
legislation,(legislation to limit the use of drones),法律,(ドローンの使用を制限する法律),"09-197.mp3, 09-198.mp3"
